词组,字数,频数,凝聚度,左自由度,右自由度,,词组,频数,凝聚度,左自由度,右自由度,词组,频数,凝聚度,左自由度,右自由度
挑担,2,39,980.3,1.979,1.940,
找寻,2,39,499.5,2.161,1.773,
阴阳,2,39,439.5,2.833,2.478,
山凹,2,38,257.0,2.430,1.691,
欣然,2,37,565.2,2.761,2.296,
看守,2,36,100.9,2.134,1.622,
冲撞,2,36,921.5,2.982,1.976,
国丈,2,36,108.3,2.048,2.946,
君臣,2,35,259.3,2.257,2.719,
昼夜,2,35,1199.5,2.177,2.194,
晦气,2,34,865.2,1.735,2.180,
欠身,2,34,272.8,1.863,1.579,
钦差,2,34,706.0,2.423,2.256,
虎豹,2,33,1092.8,2.235,1.890,
极乐,2,33,1382.9,1.677,1.747,
瑞气,2,33,466.5,1.825,1.614,
净瓶,2,33,794.4,2.615,1.733,
铃儿,2,33,120.2,3.074,1.574,
百余,2,32,306.1,2.030,1.742,
自幼,2,32,268.5,1.582,2.453,
奉旨,2,31,230.6,2.626,2.643,
借宿,2,31,761.8,2.482,1.740,
猪羊,2,31,696.0,2.738,1.885,
侍立,2,31,466.5,1.618,2.870,
怠慢,2,31,3611.7,2.822,1.624,
莲花,2,31,267.9,2.231,1.750,
丈夫,2,30,384.1,2.777,1.975,
禅堂,2,30,541.7,2.795,2.638,
架住,2,30,103.8,2.502,1.765,
楼台,2,30,424.4,1.522,2.288,
石崖,2,29,272.1,2.328,1.994,
惠岸,2,29,3122.1,1.870,2.308,
层层,2,29,716.6,1.592,2.840,
莲台,2,29,876.0,1.681,1.510,
自己,2,29,480.9,1.774,2.689,
九霄,2,28,413.3,1.802,1.510,
思量,2,28,865.2,2.146,2.439,
黄袍,2,28,846.7,2.501,2.328,
油锅,2,28,1556.7,2.382,2.396,
整衣,2,27,205.6,2.242,2.459,
夜叉,2,27,245.8,2.226,2.016,
鬼使,2,27,108.0,2.044,2.147,
逍遥,2,26,6868.4,1.731,1.921,
杨柳,2,26,2974.5,2.254,1.671,
枪刀,2,26,311.6,1.533,1.931,
风吹,2,26,117.0,2.197,2.250,
荆棘,2,25,14901.9,1.781,1.985,
施威,2,25,429.1,1.771,1.778,
森森,2,25,2530.9,2.121,2.123,
烟火,2,25,111.3,1.790,2.459,
太尉,2,24,422.7,2.058,1.849,
护持,2,24,328.2,2.252,1.838,
捉弄,2,24,193.0,1.891,2.064,
福地,2,24,111.9,2.439,1.506,
玉兔,2,24,459.9,2.189,1.679,
琉璃,2,23,20512.0,1.677,2.346,
解脱,2,23,101.6,2.055,2.126,
耍耍,2,23,589.2,2.707,1.545,
金蝉,2,22,397.9,2.611,1.878,
举钯,2,22,182.6,1.953,2.440,
助力,2,22,267.0,1.522,1.717,
瑶池,2,21,2029.9,2.187,1.686,
哈哈,2,21,4353.6,1.868,2.234,
剥皮,2,21,1001.7,2.059,1.544,
犀牛,2,21,1484.7,2.156,1.936,
群猴,2,21,131.3,1.936,1.988,
刘全,2,21,853.1,1.987,2.117,
高峰,2,20,164.1,2.046,1.568,
太乙,2,20,922.5,2.013,1.959,
州城,2,20,335.8,2.281,1.829,
宫娥,2,20,422.4,1.689,1.592,
奇花,2,20,204.1,1.547,1.658,
狮驼,2,20,3743.5,2.585,2.274,
南北,2,19,257.7,1.569,1.837,
旌旗,2,19,4288.3,2.236,1.522,
令郎,2,19,426.1,1.700,2.059,
睁睛,2,19,1455.8,1.673,1.966,
涧边,2,19,120.7,2.923,1.551,
江州,2,18,923.9,1.891,2.171,
泾河,2,18,2372.1,2.522,2.170,
鞍辔,2,18,10496.1,2.171,1.658,
蓬莱,2,18,6414.6,1.761,1.685,
家僮,2,17,288.8,1.906,1.781,
形容,2,17,429.7,1.880,1.842,
西域,2,17,655.0,1.561,1.571,
舅爷,2,17,957.2,2.295,1.557,
黑汉,2,17,281.1,1.592,1.761,
乱嚷,2,17,203.2,2.482,1.549,
扯扯,2,17,141.0,1.557,1.883,
果品,2,17,173.0,2.459,2.049,
骷髅,2,16,43587.9,2.231,1.664,
孤拐,2,16,1815.0,2.005,2.055,
打劫,2,16,108.0,1.906,1.842,
猿猴,2,16,166.8,1.753,2.046,
钟鼓,2,16,624.3,1.837,1.530,
菩提,2,15,114.6,2.128,1.906,
黄狮,2,15,203.8,1.834,2.055,
甘露,2,15,2186.7,2.156,1.686,
设宴,2,15,583.4,1.842,1.571,
鸡鸣,2,15,1448.1,1.842,2.122,
水伯,2,15,125.5,1.859,2.156,
搅乱,2,15,407.2,2.134,1.975,
格子,2,14,109.0,1.585,1.888,
给孤,2,14,3289.7,1.522,1.531,
石屏,2,14,400.7,1.539,1.571,
卖弄,2,13,213.7,1.750,2.189,
江流,2,13,209.4,1.750,1.918,
御妹,2,13,713.3,1.585,1.842,
石匣,2,12,519.6,1.922,1.539,
招安,2,11,110.0,1.842,1.557,
金阙,2,10,105.5,1.906,2.419,
陡崖,2,9,1202.4,1.557,1.522,
魂魄,2,8,619.2,1.585,1.585,
历代,2,7,1412.6,1.918,1.585,
潇洒,2,6,5053.7,1.522,1.522,
孙悟空,3,130,128.9,3.304,2.580,,悟空,515,467.5,1.602,3.337
猪八戒,3,129,148.4,2.974,3.102,,八戒,1809,297.4,2.163,4.079
金箍棒,3,124,502.1,3.506,2.223,
忍不住,3,96,546.5,2.080,3.547,
往西天,3,90,174.6,2.273,1.674,
花果山,3,79,300.1,3.319,3.010,
半空中,3,59,220.1,2.167,2.229,,半空,108,141.9,1.972,1.514
李天王,3,57,252.6,2.564,2.973,
保唐僧,3,54,131.8,2.208,2.229,,唐僧,1005,169.4,4.589,4.988
水帘洞,3,53,607.4,2.436,3.009,
弼马温,3,49,6804.6,2.851,1.680,
在马上,3,48,157.8,2.566,1.544,
南天门,3,45,378.0,2.707,1.921,
美猴王,3,42,239.9,1.575,1.825,
牛魔王,3,39,217.9,2.535,2.249,
雷音寺,3,37,977.4,1.616,2.066,,雷音,79,631.8,2.350,1.672
天竺国,3,34,256.2,3.174,2.577,
人参果,3,33,200.1,2.860,1.549,
使铁棒,3,32,160.9,1.843,1.761,,铁棒,231,561.2,3.968,1.967
力大仙,3,29,336.0,1.538,1.840,
流沙河,3,28,1742.0,2.122,2.367,
灵霄殿,3,28,703.0,1.863,2.263,
十三年,3,27,147.8,2.541,1.967,
朱紫国,3,23,616.9,1.834,1.792,
水晶宫,3,23,593.0,1.868,2.272,
八百里,3,20,104.7,1.807,1.547,
森罗殿,3,19,921.2,2.118,1.509,
凤仙郡,3,17,3851.8,1.922,1.881,
通天河,3,17,728.3,2.122,2.250,
金光寺,3,16,402.5,1.557,2.040,
奉玉帝,3,14,172.1,1.846,1.561,,玉帝,192,609.9,2.732,4.061
红孩儿,3,14,271.9,1.906,1.784,,孩儿,100,267.0,2.543,2.368
金平府,3,14,472.4,1.750,1.522,
黑水河,3,13,1848.0,1.906,1.530,
高老庄,3,12,824.3,1.557,1.617,
玉兔儿,3,10,139.8,1.522,2.171,,玉兔,24,459.9,2.189,1.679
东土大唐,4,72,463.0,1.720,3.205,,东土,213,426.5,3.538,2.924
观音菩萨,4,50,865.5,2.989,1.923,,菩萨,786,867.4,3.579,4.531,观音,116,451.3,3.386,2.257
八戒沙僧,4,42,232.4,1.877,1.967,,八戒,1809,297.4,2.163,4.079,沙僧,816,179.0,1.682,4.262
南赡部洲,4,25,1574.1,2.171,1.850,
海龙王敖,4,15,1099.0,1.922,1.922,
